id,ticket_id,subject,body,category
24,TCK-3314,Update on my promotion paperwork,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
25,TCK-3046,Tax amount seems wrong on invoice #89905,"Hi, this is Noah. My invoice #96563 lists an amount of $111.80, but according to my plan it should only be $113.33. Please review and issue a corrected invoice.",Billing
26,TCK-3316,Issue with attendance records,"Hi, this is Kevin. Could HR please issue an employment verification letter for me? I need it for a loan application by March 21.",HR
27,TCK-3328,Unable to log hours in the HR portal,Could HR please issue an employment verification letter for me? I need it for a loan application by August 6.,HR
28,TCK-3454,How do I contact the sales team?,Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.,General
29,TCK-3119,Billed twice this month,"Hi, this is Sam. My company name is spelled incorrectly on invoice #58015. Could you reissue it with the correct name for our records?",Billing
30,TCK-3473,Media inquiry for an interview,"Hi, this is Anna. I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?",General
31,TCK-3469,General compliment for your support team,"Hi, this is Mohammed. I have a question regarding your privacy policy and how customer data is stored and used. Could someone clarify this for me?",General
32,TCK-3303,Issue with attendance records,"Hi, this is Fatima. I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.",HR
33,TCK-3474,Media inquiry for an interview,Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.,General
34,TCK-3138,Getting error 500 when saving changes,"Hi, this is Mohammed. I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
35,TCK-3092,Refund request for duplicate payment,"Hi, this is Aisha. I cancelled my subscription last month, but I was still billed $59.31 on July 28. Please refund this charge and confirm the cancellation.",Billing
36,TCK-3236,Sync issue between mobile and desktop,"Hi, this is Grace. None of my data is loading in the checkout page today; the dashboard just shows a spinning loader indefinitely.",Technical
37,TCK-3340,Request for employment verification letter,"I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
38,TCK-3159,Integration with third-party tool broken,"I'm unable to connect to the server from my office network, though it works fine on my home wifi. Getting a connection refused error.",Technical
39,TCK-3204,Slow performance on the mobile app,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
40,TCK-3369,Unable to access payslip for July,"Hi, this is Sofia. I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.",HR
41,TCK-3510,How do I contact the sales team?,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
42,TCK-3131,Missing invoice for July,"Hi, this is Diego. I have not received an invoice for April yet. Could you please send it to my registered email as soon as possible?",Billing
43,TCK-3167,Export to CSV fails every time,"Hi, this is Jordan. After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
44,TCK-3337,Unable to log hours in the HR portal,"Hi, this is Fatima. I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.",HR
45,TCK-3237,Login loop after entering credentials,"Hi, this is Zara. I stopped receiving push notifications from the customer portal about a week ago, even though notifications are enabled in settings.",Technical
46,TCK-3038,Tax amount seems wrong on invoice #13761,I tried updating my card details in the billing portal but it keeps failing with an error. Can someone assist me in updating my payment method?,Billing
47,TCK-3280,Request for a copy of my offer letter,"I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
48,TCK-3112,Invoice #60709 shows wrong amount,I tried updating my card details in the API but it keeps failing with an error. Can someone assist me in updating my payment method?,Billing
49,TCK-3074,Requesting a copy of my receipt,"Hi, this is Yusuf. I upgraded my plan mid-cycle and I'm confused about the prorated charge of $190.12. Could you explain how this was calculated?",Billing
50,TCK-3404,Request to change my reporting manager on file,"Hi, this is Noah. There seems to be a discrepancy in my attendance records for February; a few days I worked from the office are marked as absent.",HR
51,TCK-3123,Question about proration on my upgrade,"Hi, this is Zara. I upgraded my plan mid-cycle and I'm confused about the prorated charge of $119.15. Could you explain how this was calculated?",Billing
52,TCK-3459,Partnership opportunity inquiry,"Hi, this is Wei. I have a question regarding your privacy policy and how customer data is stored and used. Could someone clarify this for me?",General
53,TCK-3002,Tax amount seems wrong on invoice #63354,"Hi team, I noticed I was charged $342.55 on my February invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
54,TCK-3534,General compliment for your support team,"Hi, this is Carlos. I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.",General
55,TCK-3357,Question about health insurance enrollment,"Hi, this is Yusuf. I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.",HR
56,TCK-3027,Billed twice this month,I have not received an invoice for March yet. Could you please send it to my registered email as soon as possible?,Billing
57,TCK-3518,Question about business hours,I have a general question about how the admin console works and whether it would be a good fit for a small team like ours.,General
58,TCK-3346,Unable to log hours in the HR portal,"I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
59,TCK-3021,Question about proration on my upgrade,My company name is spelled incorrectly on invoice #77000. Could you reissue it with the correct name for our records?,Billing
60,TCK-3412,Request for a company brochure,"Hi, this is Aisha. Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
61,TCK-3176,the mobile app v3.2 crashes on login,"Hi, this is Victor. I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?",Technical
62,TCK-3143,Login loop after entering credentials,"Hi, this is Anna. After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
63,TCK-3415,Feedback on recent experience,Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.,General
64,TCK-3375,Question about my leave balance,"Hi, this is Raj. I'm unable to download my payslip for August from the HR portal; it just shows a loading error every time I click on it.",HR
65,TCK-3443,Question about your return policy,"Hi, this is Diego. Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?",General
66,TCK-3405,Update on my promotion paperwork,"Hi, this is Ben. I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
67,TCK-3464,Feedback on recent experience,"Hi, this is Aisha. Just wanted to say your support team was fantastic when I reached out last week; they resolved my issue quickly and were very polite.",General
68,TCK-3499,General inquiry about your services,Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.,General
69,TCK-3231,Export to CSV fails every time,"Whenever I try to export my report to CSV in the admin console, the download fails and I get a generic error message.",Technical
70,TCK-3365,Request for a copy of my offer letter,"Hi, this is Tara. Could HR please issue an employment verification letter for me? I need it for a loan application by November 28.",HR
71,TCK-3491,Question about company locations,Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.,General
72,TCK-3164,Slow performance on the API,"After installing the latest update, the CRM tool just shows a blank white screen on launch. I've tried reinstalling with no luck.",Technical
73,TCK-3540,General compliment for your support team,I'm a journalist writing about companies in this space and would love to schedule a short interview with someone from your team.,General
74,TCK-3429,Suggestion for a new feature,"Hi, this is Raj. I have a general question about how the checkout page works and whether it would be a good fit for a small team like ours.",General
75,TCK-3094,Tax amount seems wrong on invoice #43550,My card shows a deduction of $83.97 but the payment status in the desktop client still says declined. Please investigate and confirm whether the payment went through.,Billing
76,TCK-3487,Inquiry about your privacy policy,"Hi, this is Wei. I'd like to suggest a new feature for the desktop client that would let users export data in bulk; it would save a lot of time.",General
77,TCK-3098,Question about proration on my upgrade,I have not received an invoice for March yet. Could you please send it to my registered email as soon as possible?,Billing
78,TCK-3140,Getting error 500 when saving changes,None of my data is loading in the mobile app v3.2 today; the dashboard just shows a spinning loader indefinitely.,Technical
79,TCK-3158,Two-factor authentication not working,"After installing the latest update, the admin console just shows a blank white screen on launch. I've tried reinstalling with no luck.",Technical
80,TCK-3355,Request for a copy of my offer letter,"Hi, this is Emma. Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.",HR
81,TCK-3322,Update on my promotion paperwork,"Hi, this is Nina. I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.",HR
82,TCK-3093,Billed twice this month,The tax charged on invoice #55793 seems higher than usual. Can someone from billing confirm the tax rate applied?,Billing
83,TCK-3306,Issue with attendance records,"Hi, this is Zara. I have a question about enrolling in the health insurance plan; the deadline is approaching and I'm not sure which plan covers dependents.",HR
84,TCK-3266,Cannot connect to the server,"Every time I try to log into the desktop client, the app crashes immediately after entering my credentials. This started after the update on March 11.",Technical
85,TCK-3292,Unable to log hours in the HR portal,Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.,HR
86,TCK-3195,Notifications not showing up,"After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
87,TCK-3268,Blank screen after latest update,"After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
88,TCK-3239,Integration with third-party tool broken,"the desktop client has become extremely slow over the past few days, taking over a minute to load simple pages.",Technical
89,TCK-3199,the admin console crashes on login,"Hi, this is Wei. Every time I try to log into the admin console, the app crashes immediately after entering my credentials. This started after the update on November 5.",Technical
90,TCK-3484,Question about your return policy,I'm interested in career opportunities at your company. Could you point me to your current job openings?,General
91,TCK-3325,Question about my leave balance,Could you please send me a copy of my original offer letter? I need it for a visa application.,HR
92,TCK-3101,Unable to update my payment method,"Hi, this is Mei. My card shows a deduction of $70.85 but the payment status in the reporting module still says declined. Please investigate and confirm whether the payment went through.",Billing
93,TCK-3222,Blank screen after latest update,"Hi, this is Isabella. Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around August 2.",Technical
94,TCK-3318,Onboarding documents not received,"Hi, this is Diego. I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
95,TCK-3189,App freezes during file upload,"After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
96,TCK-3257,Integration with third-party tool broken,Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.,Technical
97,TCK-3070,Missing invoice for April,"Hi, this is Fatima. My company name is spelled incorrectly on invoice #26199. Could you reissue it with the correct name for our records?",Billing
98,TCK-3366,Issue with reimbursement claim,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
99,TCK-3513,Inquiry about career opportunities,"Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
100,TCK-3149,Blank screen after latest update,None of my data is loading in the CRM tool today; the dashboard just shows a spinning loader indefinitely.,Technical
101,TCK-3529,Question about business hours,I'm interested in career opportunities at your company. Could you point me to your current job openings?,General
102,TCK-3372,Issue with reimbursement claim,"Hi, this is Nina. I submitted a reimbursement claim for $468.84 on July 19, but it still shows as pending after two weeks. Could you check the status?",HR
103,TCK-3371,Unable to log hours in the HR portal,"Hi, this is Liam. Could you please send me a copy of my original offer letter? I need it for a visa application.",HR
104,TCK-3241,Two-factor authentication not working,"Hi, this is Diego. Data I enter on the mobile app isn't syncing with the desktop version of the web dashboard. Changes made on one device don't appear on the other.",Technical
105,TCK-3393,Onboarding documents not received,"Hi, this is Isabella. I submitted a reimbursement claim for $30.13 on June 3, but it still shows as pending after two weeks. Could you check the status?",HR
106,TCK-3270,Export to CSV fails every time,"Every time I try to log into the API, the app crashes immediately after entering my credentials. This started after the update on May 4.",Technical
107,TCK-3445,General inquiry about your services,"Hi, this is Victor. Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
108,TCK-3444,Inquiry about your privacy policy,I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.,General
109,TCK-3497,Partnership opportunity inquiry,I'm a journalist writing about companies in this space and would love to schedule a short interview with someone from your team.,General
110,TCK-3307,Unable to access payslip for March,"Hi, this is Chloe. Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.",HR
111,TCK-3111,Late fee charged despite on-time payment,Could you please email me a copy of the receipt for invoice #81313? I need it for my expense report.,Billing
112,TCK-3397,Parental leave policy clarification,"Hi, this is Aisha. I'd like to request a change to my reporting manager on file, since my team structure changed last month.",HR
113,TCK-3434,Question about business hours,"Hi, this is Tara. Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.",General
114,TCK-3193,Slow performance on the web dashboard,"Hi, this is Isabella. I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?",Technical
115,TCK-3483,Request for a company brochure,"Hi, this is Noah. I have a general question about how the desktop client works and whether it would be a good fit for a small team like ours.",General
116,TCK-3285,Parental leave policy clarification,"Hi, this is Grace. Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.",HR
117,TCK-3273,Update on my promotion paperwork,"Hi, this is Noah. Could HR please issue an employment verification letter for me? I need it for a loan application by December 18.",HR
118,TCK-3069,Question about proration on my upgrade,"I paid my bill on time via the payment gateway, but I was still charged a late fee of $156.95. Please remove this fee from my account.",Billing
119,TCK-3490,Question about business hours,I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.,General
120,TCK-3201,Slow performance on the web dashboard,"Hi, this is Mei. I keep getting a 500 internal server error whenever I try to save changes in the checkout page. This happens consistently, even after restarting the app.",Technical
121,TCK-3294,Request for a copy of my offer letter,"Hi, this is Zara. Could you please send me a copy of my original offer letter? I need it for a visa application.",HR
122,TCK-3352,Clarification on remote work policy,I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.,HR
123,TCK-3148,the customer portal crashes on login,"Hi, this is Ben. I keep getting a 500 internal server error whenever I try to save changes in the CRM tool. This happens consistently, even after restarting the app.",Technical
124,TCK-3512,General compliment for your support team,"Hi, this is Liam. I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?",General
125,TCK-3091,Billed twice this month,"I paid my bill on time via the web dashboard, but I was still charged a late fee of $212.90. Please remove this fee from my account.",Billing
126,TCK-3451,Question about company locations,"Hi, this is Diego. Could you let me know your business hours and whether you're open on weekends? I'm trying to plan a call with your team.",General
127,TCK-3142,App freezes during file upload,None of my data is loading in the mobile app today; the dashboard just shows a spinning loader indefinitely.,Technical
128,TCK-3422,Requesting a product demo,I'm interested in learning more about the desktop client and would like to request a demo for my team sometime next week.,General
129,TCK-3411,Media inquiry for an interview,"Hi, this is Zara. I'd like to suggest a new feature for the mobile app v3.2 that would let users export data in bulk; it would save a lot of time.",General
130,TCK-3245,Two-factor authentication not working,"the mobile app v3.2 has become extremely slow over the past few days, taking over a minute to load simple pages.",Technical
131,TCK-3289,Requesting update to my personal details,I recently changed my address and would like to update my personal details on file. Please let me know the process for this.,HR
132,TCK-3198,Export to CSV fails every time,The integration between the web dashboard and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
133,TCK-3506,General compliment for your support team,Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?,General
134,TCK-3129,Requesting a copy of my receipt,"Hi, this is Emma. Could you please email me a copy of the receipt for invoice #99783? I need it for my expense report.",Billing
135,TCK-3524,Requesting a product demo,I recently purchased a product from you and wanted to ask about your return policy in case it doesn't work out.,General
136,TCK-3049,Subscription renewed but I cancelled it,My card shows a deduction of $160.89 but the payment status in the reporting module still says declined. Please investigate and confirm whether the payment went through.,Billing
137,TCK-3244,Login loop after entering credentials,Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around July 7.,Technical
138,TCK-3014,Late fee charged despite on-time payment,I tried updating my card details in the desktop client but it keeps failing with an error. Can someone assist me in updating my payment method?,Billing
139,TCK-3240,Data not loading in the payment gateway,Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around November 9.,Technical
140,TCK-3050,Missing invoice for October,Could you please email me a copy of the receipt for invoice #86955? I need it for my expense report.,Billing
141,TCK-3420,Suggestion for a new feature,"Hi, this is Mohammed. I have some questions about pricing plans and would like to speak with someone from the sales team. How can I get in touch?",General
142,TCK-3179,Integration with third-party tool broken,"After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
143,TCK-3171,Login loop after entering credentials,"Hi, this is Diego. Every time I try to log into the mobile app v3.2, the app crashes immediately after entering my credentials. This started after the update on August 4.",Technical
144,TCK-3007,Unable to update my payment method,"My invoice #87924 lists an amount of $487.72, but according to my plan it should only be $131.74. Please review and issue a corrected invoice.",Billing
145,TCK-3043,Tax amount seems wrong on invoice #48290,"Hi, this is Anna. The currency conversion on my latest invoice looks off; it shows $449.96 instead of the expected amount in USD. Please check.",Billing
146,TCK-3165,Integration with third-party tool broken,"Hi, this is Fatima. I requested a password reset link three times but never received the email. Can someone manually reset my password or check the email delivery?",Technical
147,TCK-3327,Parental leave policy clarification,"Hi, this is Mei. I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
148,TCK-3114,Billed twice this month,The currency conversion on my latest invoice looks off; it shows $27.25 instead of the expected amount in USD. Please check.,Billing
149,TCK-3304,Request for employment verification letter,There seems to be a discrepancy in my attendance records for October; a few days I worked from the office are marked as absent.,HR
150,TCK-3139,Slow performance on the checkout page,The integration between the API and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
151,TCK-3269,Unable to reset my password,The integration between the billing portal and our third-party analytics tool stopped working after the recent update; no data is being pulled through.,Technical
152,TCK-3508,Feedback on recent experience,"Hi, this is Mei. I wanted to share some feedback about my recent experience with your team; overall it was positive but there is room for improvement in response time.",General
153,TCK-3060,Requesting a copy of my receipt,"Hi, this is Grace. I paid my bill on time via the admin console, but I was still charged a late fee of $140.43. Please remove this fee from my account.",Billing
154,TCK-3100,Unable to update my payment method,I was charged twice for the same subscription on February 19. Please refund the duplicate transaction of $344.18 to my original payment method.,Billing
155,TCK-3330,Issue with attendance records,"Hi, this is Sam. I joined the company last week but still haven't received my onboarding documents. Could someone resend them to my email?",HR
156,TCK-3023,Credit card declined but money was deducted,"Hi, this is Fatima. My company name is spelled incorrectly on invoice #60328. Could you reissue it with the correct name for our records?",Billing
157,TCK-3084,Unable to update my payment method,"Hi, this is Kevin. I tried updating my card details in the reporting module but it keeps failing with an error. Can someone assist me in updating my payment method?",Billing
158,TCK-3039,Overcharged on my May invoice,I tried updating my card details in the admin console but it keeps failing with an error. Can someone assist me in updating my payment method?,Billing
159,TCK-3515,Inquiry about your privacy policy,I'm interested in learning more about the billing portal and would like to request a demo for my team sometime next week.,General
160,TCK-3169,Cannot connect to the server,Our integration is receiving timeout errors from the API for requests taking longer than 30 seconds. This started around May 14.,Technical
161,TCK-3502,Question about company locations,"Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
162,TCK-3228,Cannot connect to the server,"Hi, this is Diego. I keep getting a 500 internal server error whenever I try to save changes in the mobile app v3.2. This happens consistently, even after restarting the app.",Technical
163,TCK-3360,Question about health insurance enrollment,"Hi, this is Aisha. I'd like to request a change to my reporting manager on file, since my team structure changed last month.",HR
164,TCK-3439,Question about company locations,Just wanted to say your support team was fantastic when I reached out last week; they resolved my issue quickly and were very polite.,General
165,TCK-3297,Issue with reimbursement claim,Could someone explain how the year-end bonus is calculated? I want to understand the formula used based on performance ratings.,HR
166,TCK-3379,Update on my promotion paperwork,Could someone from HR confirm my current leave balance? The number showing in the portal doesn't match what I calculated myself.,HR
167,TCK-3097,Subscription renewed but I cancelled it,I have not received an invoice for December yet. Could you please send it to my registered email as soon as possible?,Billing
168,TCK-3087,Missing invoice for July,I was charged twice for the same subscription on October 3. Please refund the duplicate transaction of $457.06 to my original payment method.,Billing
169,TCK-3116,Question about proration on my upgrade,I was billed on both August 23 and again three days later for the same subscription period. Please refund one of the charges.,Billing
170,TCK-3495,General question about the checkout page,"Hi, this is Mei. I have a general question about how the customer portal works and whether it would be a good fit for a small team like ours.",General
171,TCK-3080,Invoice #92978 shows wrong amount,"My invoice #48652 lists an amount of $171.48, but according to my plan it should only be $310.67. Please review and issue a corrected invoice.",Billing
172,TCK-3203,Unable to reset my password,"Hi, this is Ethan. After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
173,TCK-3298,Question about year-end bonus calculation,"I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
174,TCK-3232,Getting error 500 when saving changes,"Hi, this is Carlos. The app freezes completely whenever I try to upload a file larger than 10MB in the mobile app. I have to force close it every time.",Technical
175,TCK-3302,Request to change my reporting manager on file,I'm unable to log my working hours in the HR portal today; the submit button doesn't seem to respond.,HR
176,TCK-3018,Requesting a copy of my receipt,I have not received an invoice for May yet. Could you please send it to my registered email as soon as possible?,Billing
177,TCK-3467,Feedback on recent experience,I recently purchased a product from you and wanted to ask about your return policy in case it doesn't work out.,General
178,TCK-3141,Unable to reset my password,The app freezes completely whenever I try to upload a file larger than 10MB in the desktop client. I have to force close it every time.,Technical
179,TCK-3463,General inquiry about your services,"Hi, this is Emma. Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?",General
180,TCK-3001,Billed twice this month,"Hi, this is Alex. My invoice #38080 lists an amount of $126.35, but according to my plan it should only be $347.62. Please review and issue a corrected invoice.",Billing
181,TCK-3234,Integration with third-party tool broken,"Hi, this is Mohammed. None of my data is loading in the mobile app today; the dashboard just shows a spinning loader indefinitely.",Technical
182,TCK-3047,Requesting a copy of my receipt,"Hi team, I noticed I was charged $123.36 on my May invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
183,TCK-3056,Overcharged on my May invoice,The currency conversion on my latest invoice looks off; it shows $79.49 instead of the expected amount in USD. Please check.,Billing
184,TCK-3073,Currency conversion looks incorrect on invoice,The currency conversion on my latest invoice looks off; it shows $377.19 instead of the expected amount in USD. Please check.,Billing
185,TCK-3196,App freezes during file upload,"Hi, this is Carlos. The integration between the billing portal and our third-party analytics tool stopped working after the recent update; no data is being pulled through.",Technical
186,TCK-3013,Invoice #81511 shows wrong amount,"Hi, this is Raj. The currency conversion on my latest invoice looks off; it shows $287.18 instead of the expected amount in USD. Please check.",Billing
187,TCK-3477,Request for a company brochure,"Hi, this is Wei. I'm a journalist writing about companies in this space and would love to schedule a short interview with someone from your team.",General
188,TCK-3247,Unable to reset my password,"Hi, this is Sofia. Whenever I try to export my report to CSV in the mobile app, the download fails and I get a generic error message.",Technical
189,TCK-3190,App freezes during file upload,"Whenever I try to export my report to CSV in the API, the download fails and I get a generic error message.",Technical
190,TCK-3349,Parental leave policy clarification,"Hi, this is Jordan. I'm expecting a child soon and would like clarification on the parental leave policy, including how much notice I need to give.",HR
191,TCK-3008,Currency conversion looks incorrect on invoice,"Hi, this is Omar. Hi team, I noticed I was charged $127.33 on my December invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
192,TCK-3226,Export to CSV fails every time,"Hi, this is Zara. None of my data is loading in the checkout page today; the dashboard just shows a spinning loader indefinitely.",Technical
193,TCK-3263,App freezes during file upload,Data I enter on the mobile app isn't syncing with the desktop version of the desktop client. Changes made on one device don't appear on the other.,Technical
194,TCK-3516,Question about your return policy,I have a general question about how the billing portal works and whether it would be a good fit for a small team like ours.,General
195,TCK-3522,Inquiry about career opportunities,"Hi, this is Carlos. I'm interested in learning more about the API and would like to request a demo for my team sometime next week.",General
196,TCK-3448,Media inquiry for an interview,Our company is exploring a potential partnership with yours. Could you point me to the right person to discuss this further?,General
197,TCK-3096,Downgrade my plan and adjust billing,"Hi, this is Ethan. My card shows a deduction of $241.57 but the payment status in the billing portal still says declined. Please investigate and confirm whether the payment went through.",Billing
198,TCK-3205,the web dashboard crashes on login,"Hi, this is Mei. After entering my correct login credentials, I get redirected back to the login page in a loop and can never actually get in.",Technical
199,TCK-3040,Refund request for duplicate payment,"Hi team, I noticed I was charged $193.60 on my November invoice, which is more than my usual plan cost. Can you please check and correct this?",Billing
200,TCK-3471,Suggestion for a new feature,"Hi, this is Fatima. Hi, I came across your company online and wanted to know more about the services you offer. Could someone share some general information?",General
201,TCK-3011,Credit card declined but money was deducted,"Hi, this is Zara. Could you please email me a copy of the receipt for invoice #76244? I need it for my expense report.",Billing
202,TCK-3409,General question about the checkout page,Could you tell me which cities you currently have offices in? I'm curious whether there's a location near me.,General
203,TCK-3389,Question about health insurance enrollment,Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.,HR
204,TCK-3370,Issue with reimbursement claim,Could you clarify the current remote work policy? I want to confirm how many days per week I'm allowed to work from home.,HR
205,TCK-3209,Login loop after entering credentials,"Whenever I try to export my report to CSV in the web dashboard, the download fails and I get a generic error message.",Technical
206,TCK-3029,Currency conversion looks incorrect on invoice,"Hi, this is Noah. My company name is spelled incorrectly on invoice #13804. Could you reissue it with the correct name for our records?",Billing
207,TCK-3105,Currency conversion looks incorrect on invoice,My card shows a deduction of $241.98 but the payment status in the reporting module still says declined. Please investigate and confirm whether the payment went through.,Billing
208,TCK-3326,Question about year-end bonus calculation,"I was told my promotion was approved last month, but I haven't seen any updates in the system. Could you check on the paperwork status?",HR
209,TCK-3219,Sync issue between mobile and desktop,"Hi, this is Noah. Two-factor authentication codes aren't being accepted even though I'm entering them correctly and quickly. This is blocking me from logging in.",Technical
210,TCK-3251,Getting error 500 when saving changes,"I stopped receiving push notifications from the customer portal about a week ago, even though notifications are enabled in settings.",Technical
